Index,Mkt.RF,SMB,HML,RF,RFJ,JPY.r,Mkt.RFJ,SMBJ,HMLJ
30/11/1994,-0.0655,-0.0194,-0.0009,0.0037,0.002086717,-0.014057443,-0.050509981,-0.019676603,-0.000912832
31/12/1994,0.0161,0.0053,-0.0041,0.0044,0.001957944,-0.008821171,0.027624176,0.005347168,-0.004136489
31/1/1995,-0.0685,0.0201,-0.0221,0.0042,0.001934289,0.012072639,-0.077395907,0.019860235,-0.021836377
28/2/1995,-0.0561,-0.009,0.0008,0.004,0.001839606,0.01566203,-0.06855671,-0.008861215,0.000787664
31/3/1995,0.086,-0.0345,0.0123,0.0046,0.001345006,0.085145636,0.003681383,-0.031792968,0.011334884
30/4/1995,0.0367,-0.0204,-0.0183,0.0045,0.001119745,0.068965517,-0.027093938,-0.019083871,-0.017119355
31/5/1995,-0.0679,-0.0261,-0.0067,0.0054,0.000738658,0.005830729,-0.068673279,-0.0259487,-0.006661161
30/6/1995,-0.046,-0.0167,0.0193,0.0047,0.000642723,-0.015912452,-0.026440782,-0.016970035,0.019612076
31/7/1995,0.059,0.0011,-0.0244,0.0045,0.000480395,-0.043672569,0.111586419,0.001150234,-0.025514274
31/8/1995,-0.0308,0.031,-0.0053,0.0047,0.000493657,-0.10879758,0.092299605,0.034784466,-0.005947022
30/9/1995,-0.016,-0.018,-0.0194,0.0043,0.000198117,-0.003015833,-0.008908553,-0.018054449,-0.019458684
31/10/1995,-0.0432,0.0186,-0.0066,0.0047,0.000175664,-0.022022317,-0.017024394,0.019018839,-0.00674862
30/11/1995,0.0409,0.0074,0.0045,0.0042,0.00010161,0.001082624,0.043868164,0.007391997,0.004495133
31/12/1995,0.0435,0.0178,0.0257,0.0049,0.000247164,-0.011864819,0.060741272,0.01801373,0.026008587
31/1/1996,-0.0167,0.0314,0.0204,0.0043,0.000371739,-0.043265876,0.031889968,0.032819985,0.021322538
29/2/1996,-0.0184,-0.0034,-0.003,0.0039,0.000593062,0.024596025,-0.038750563,-0.003318381,-0.002927983
31/3/1996,0.026,-0.0089,-0.0096,0.0039,0.000436451,-0.012613545,0.042620192,-0.009013695,-0.009722637
30/4/1996,0.0638,0.05,0.0125,0.0046,0.000655962,0.011617388,0.05547456,0.049425801,0.01235645
31/5/1996,-0.0491,0.0091,0.0063,0.0042,0.000401612,-0.024975628,-0.020836354,0.0093331,0.006461377
30/6/1996,-0.0003,-0.0169,0.0119,0.004,0.000468789,-0.014728079,0.018234757,-0.017152625,0.012077884
31/7/1996,-0.0517,-0.0124,0.0103,0.0045,0.000657616,0.01241028,-0.059537184,-0.012247999,0.010173741
31/8/1996,-0.0472,0.0067,-0.0044,0.0041,0.000226385,-0.004104409,-0.039382689,0.006727613,-0.004418134
30/9/1996,0.0244,-0.0478,0.0043,0.0044,0.000346007,-0.022670933,0.052318888,-0.048908808,0.004399746
31/10/1996,-0.0728,0.005,0.0045,0.0042,0.000233034,-0.025261401,-0.0446948,0.00512958,0.004616622
30/11/1996,0.0022,-0.0503,0.0137,0.0041,0.000238853,-0.000439136,0.006503244,-0.050322098,0.013706019
31/12/1996,-0.0752,-0.0463,0.0202,0.0046,0.000254643,-0.016030765,-0.055712916,-0.047054317,0.020529097
31/1/1997,-0.1118,0.0068,0.0109,0.0045,0.000243839,-0.052564785,-0.058015827,0.007177272,0.011504744
28/2/1997,0.0146,-0.025,-0.005,0.0039,0.000275416,0.011176885,0.006966755,-0.024723666,-0.004944733
31/3/1997,-0.041,-0.0437,0.0167,0.0043,0.000420692,-0.026359276,-0.011041369,-0.044883086,0.017152117
30/4/1997,0.0149,-0.0523,-0.0018,0.0043,0.00057319,-0.022611779,0.0422059,-0.053509955,-0.001841643
31/5/1997,0.1305,0.0432,-0.0438,0.0049,0.000627,0.089999571,0.041024787,0.039633043,-0.040183502
30/6/1997,0.0544,-0.0308,-0.0067,0.0037,0.000526804,0.016676125,0.040217612,-0.0302948,-0.006590103
31/7/1997,-0.0444,-0.0738,-0.0226,0.0043,0.000385847,-0.029939866,-0.010859562,-0.076077758,-0.023297525
31/8/1997,-0.0983,-0.0123,0.0027,0.0041,0.000350158,-0.007523221,-0.087683969,-0.012393237,0.002720467
30/9/1997,-0.0296,-0.1143,-0.0197,0.0044,0.000395804,-0.017751724,-0.00797869,-0.116365692,-0.020056029
31/10/1997,-0.0807,0.0808,-0.0086,0.0042,0.000369249,0.008535265,-0.084684858,0.080116187,-0.008527218
30/11/1997,-0.0835,-0.0947,-0.032,0.0039,0.000297014,-0.053589723,-0.027780102,-0.100062312,-0.033811974
31/12/1997,-0.0812,-0.0669,-0.0179,0.0048,0.000467131,-0.021439038,-0.056632219,-0.068365695,-0.018292166
31/1/1998,0.1055,0.1335,0.0195,0.0043,0.000535089,0.026235606,0.08089299,0.130087086,0.019001485
